timestamp,edge_node,provider,bytes,user_id,execution_time
1000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,56808,24,783
1000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,71753,99,828
2000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,79611,8,765
2000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,56868,26,640
2000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,79651,64,1266
2000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,72938,70,854
2000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,77251,80,734
2000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,78963,92,1171
2000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,80718,98,707
3000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,75591,1,843
3000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,74261,20,726
3000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,80385,21,1671
3000,4,tbcicxbecqsamnbbaqeckucotdcxvbeq,68354,41,775
3000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,68833,42,706
3000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,84641,43,838
3000,4,tbcicxbecqsamnbbaqeckucotdcxvbeq,61638,59,713
3000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,73099,62,862
3000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,61418,63,725
3000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,77355,81,1015
3000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,76312,83,753
4000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,84988,3,1240
4000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,80433,13,828
4000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,71315,52,735
4000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,80355,71,990
4000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,76094,74,609
4000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,68576,85,782
4000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,69444,98,806
5000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,66752,2,779
5000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,70439,26,796
5000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,75909,40,683
5000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,77383,47,765
5000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,84712,58,750
5000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,91154,60,672
5000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,82851,64,906
5000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,71498,78,810
5000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,73829,80,875
5000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,79102,81,761
5000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,66701,84,811
5000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,88862,92,1531
6000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,78511,1,890
6000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,75319,14,958
6000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,72529,16,1031
6000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,77235,20,984
6000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,58795,22,916
6000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,75582,33,740
6000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,77366,42,787
6000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,69398,46,780
6000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,72473,48,747
6000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,75326,88,2450
6000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,70785,90,765
7000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,69017,3,828
7000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,75205,6,750
7000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,453,20,62
7000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,90098,31,843
7000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,91159,71,773
7000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,77339,85,1000
8000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,72297,1,953
8000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,73793,5,796
8000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,72106,7,751
8000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,82744,9,1171
8000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,61590,16,783
8000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,59848,19,739
8000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,76272,23,728
8000,4,tbcicxbecqsamnbbaqeckucotdcxvbeq,76336,35,794
8000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,69425,37,906
8000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,75263,45,781
8000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,67921,60,742
8000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,64611,63,838
8000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,71091,83,984
9000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,77247,12,875
9000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,74232,21,736
9000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,80393,40,931
9000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,67179,48,890
9000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,70729,58,717
9000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,83111,75,984
9000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,74343,88,770
9001,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,70753,88,875
10000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,73419,0,839
10000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,68022,19,834
10000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,71366,21,562
10000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,91207,26,1020
10000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,70007,52,906
10000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,72979,57,859
10000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,86677,74,1071
10000,4,tbcicxbecqsamnbbaqeckucotdcxvbeq,69986,79,898
10001,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,70475,88,984
11000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,74051,4,2081
11000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,72291,8,843
11000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,82897,20,765
11000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,88960,23,1140
11000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,69340,33,1062
11000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,72272,38,809
11000,4,tbcicxbecqsamnbbaqeckucotdcxvbeq,71095,41,859
11000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,70923,51,796
11000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,79717,65,798
11000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,60626,74,902
11000,4,tbcicxbecqsamnbbaqeckucotdcxvbeq,439,79,125
11000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,74775,87,1406
11000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,61426,95,728
11001,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,71242,74,1273
12000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,63073,1,869
12000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,75009,5,906
12000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,74301,7,887
12000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,86714,32,900
12000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,70429,44,843
12000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,61412,52,828
12000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,71392,57,1046
12000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,75335,66,812
12000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,69375,81,859
12000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,85146,82,1078
12000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,66716,99,910
12001,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,81796,1,1343
12001,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,72536,81,765
13000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,71661,4,677
13000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,71374,10,777
13000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,75413,16,744
13000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,79273,24,697
13000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,79343,45,777
13000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,91218,68,953
13000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,87204,71,828
13000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,84714,78,968
14000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,84672,5,828
14000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,68616,25,843
14000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,76357,27,906
14000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,65508,28,1125
14000,4,tbcicxbecqsamnbbaqeckucotdcxvbeq,69013,30,1328
14000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,65412,37,843
14000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,71761,51,729
14000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,72249,61,671
14000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,72238,85,758
14000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,74099,92,984
15000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,63152,2,707
15000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,75025,7,953
15000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,80536,47,777
15000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,69392,71,806
15000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,80352,85,859
15000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,76096,92,687
16000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,73151,19,843
16000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,65297,20,723
16000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,72444,44,791
16000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,56948,56,671
16000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,90884,63,739
16000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,61593,66,927
16000,0,tbcicxbecqsamnbbaqeckucotdcxvbeq,88758,70,893
16000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,73689,72,758
16000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,69221,86,1546
17000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,59508,22,773
17000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,84289,33,859
17000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,61441,45,824
17000,1,tbcicxbecqsamnbbaqeckucotdcxvbeq,80433,47,843
17000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,69459,52,843
17000,3,tbcicxbecqsamnbbaqeckucotdcxvbeq,65300,55,781
17000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,63700,62,1000
17000,2,tbcicxbecqsamnbbaqeckucotdcxvbeq,71103,85,828
