timestamp,edge_node,edge_node_location,provider,bytes,user_id,user_location,execution_time,subarea
329308,15,"(8114, 7994)",dwvuenmgxoclebjqxuolmboggnkcragj,76272,23,"(8605, 6418)",728,3
448375,19,"(3604, 4045)",dwvuenmgxoclebjqxuolmboggnkcragj,72979,57,"(2774, 4166)",859,0
945293,0,"(8915, 4372)",dwvuenmgxoclebjqxuolmboggnkcragj,65886,89,"(9836, 4142)",786,1
955023,3,"(3414, 7376)",dwvuenmgxoclebjqxuolmboggnkcragj,82744,9,"(1873, 9333)",1171,2
958092,6,"(1108, 3050)",dwvuenmgxoclebjqxuolmboggnkcragj,80579,97,"(1257, 4635)",812,0
1239703,19,"(3604, 4045)",dwvuenmgxoclebjqxuolmboggnkcragj,66752,2,"(3359, 1654)",779,0
1324419,19,"(3604, 4045)",dwvuenmgxoclebjqxuolmboggnkcragj,74261,20,"(5072, 3181)",726,1
1588049,11,"(7933, 376)",dwvuenmgxoclebjqxuolmboggnkcragj,76336,35,"(9099, 52)",794,1
1636444,3,"(3414, 7376)",dwvuenmgxoclebjqxuolmboggnkcragj,68354,41,"(3274, 9753)",775,2
1886302,12,"(1974, 2799)",dwvuenmgxoclebjqxuolmboggnkcragj,89926,29,"(4656, 3147)",1438,0
1949720,7,"(4648, 3617)",dwvuenmgxoclebjqxuolmboggnkcragj,76357,27,"(3861, 1433)",906,0
1974624,3,"(3414, 7376)",dwvuenmgxoclebjqxuolmboggnkcragj,77251,80,"(2888, 8516)",734,2
2090092,19,"(3604, 4045)",dwvuenmgxoclebjqxuolmboggnkcragj,77383,47,"(3203, 5561)",765,2
2242116,14,"(4833, 871)",dwvuenmgxoclebjqxuolmboggnkcragj,70923,51,"(6461, 965)",796,1
2663169,18,"(3218, 5715)",dwvuenmgxoclebjqxuolmboggnkcragj,79651,64,"(1738, 9125)",1266,2
2714322,7,"(4648, 3617)",dwvuenmgxoclebjqxuolmboggnkcragj,73099,62,"(3272, 6038)",862,2
2803788,5,"(4613, 5569)",dwvuenmgxoclebjqxuolmboggnkcragj,80355,71,"(5555, 8779)",990,3
2832619,4,"(6736, 3111)",dwvuenmgxoclebjqxuolmboggnkcragj,79611,8,"(9367, 2657)",765,1
2865308,4,"(6736, 3111)",dwvuenmgxoclebjqxuolmboggnkcragj,73689,72,"(9975, 4157)",758,1
2990555,14,"(4833, 871)",dwvuenmgxoclebjqxuolmboggnkcragj,77247,12,"(2318, 3825)",875,0
3009796,1,"(938, 4513)",dwvuenmgxoclebjqxuolmboggnkcragj,71753,99,"(994, 2625)",828,0
3085098,4,"(6736, 3111)",dwvuenmgxoclebjqxuolmboggnkcragj,76094,74,"(8910, 5205)",609,3
3154841,19,"(3604, 4045)",dwvuenmgxoclebjqxuolmboggnkcragj,72106,7,"(5064, 1045)",751,1
3194597,4,"(6736, 3111)",dwvuenmgxoclebjqxuolmboggnkcragj,85146,82,"(7832, 4764)",1078,1
3213338,0,"(8915, 4372)",dwvuenmgxoclebjqxuolmboggnkcragj,84641,43,"(9629, 2616)",838,1
3478205,16,"(5127, 5403)",dwvuenmgxoclebjqxuolmboggnkcragj,76272,23,"(8289.170454579259602917159720, 6324.750565131318412135255601)",728,3
