timestamp,edge_node,edge_node_location,provider,bytes,user_id,user_location,execution_time,subarea
10290,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,74051,4,"(1798, 6611)",2081,3
12045,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,83111,75,"(2591, 7463)",984,6
13174,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,80355,71,"(5555, 8779)",990,7
14011,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,68616,25,"(1817, 8933)",843,6
27878,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,77251,80,"(2888, 8516)",734,6
29540,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,75263,45,"(197, 5395)",781,3
29940,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,71083,50,"(3925, 7210)",859,7
30043,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,65300,55,"(4385, 8529)",781,7
35456,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,79717,65,"(5163, 5756)",798,4
41388,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,66752,2,"(3359, 1654)",779,1
43063,5,"(3195, 813)",dwvuenmgxoclebjqxuolmboggnkcragj,439,69,"(2092, 1432)",122,0
49626,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,75319,14,"(7382, 2729)",958,2
51138,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,65353,18,"(61, 8698)",909,6
58946,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,79611,8,"(9367, 2657)",765,2
60928,0,"(8980, 9162)",dwvuenmgxoclebjqxuolmboggnkcragj,75205,6,"(9957, 9204)",750,8
61707,5,"(3195, 813)",dwvuenmgxoclebjqxuolmboggnkcragj,70723,39,"(2078, 429)",802,0
63177,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,73897,76,"(9406, 3321)",702,2
65315,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,80385,21,"(6211, 7622)",1671,7
69552,5,"(3195, 813)",dwvuenmgxoclebjqxuolmboggnkcragj,72938,70,"(1370, 40)",854,0
70066,4,"(7286, 6318)",dwvuenmgxoclebjqxuolmboggnkcragj,76272,23,"(8605, 6418)",728,5
70653,3,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,61426,95,"(5000, 1951)",728,1
71270,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,80579,97,"(1257, 4635)",812,3
71307,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,71753,99,"(994, 2625)",828,0
83224,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,89926,29,"(4656, 3147)",1438,1
84822,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,76357,27,"(3861, 1433)",906,1
87618,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,75582,33,"(2223, 7870)",740,6
89540,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,72291,34,"(7250, 8300)",859,8
89590,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,82117,77,"(4637, 8761)",765,7
89976,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,79152,91,"(387, 5935)",1140,3
94056,6,"(5031, 74)",dwvuenmgxoclebjqxuolmboggnkcragj,71315,52,"(6005, 50)",735,1
96144,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,79717,65,"(5129.872653101795506825274624, 5768.637516507843665663658201)",798,4
96409,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,76173,36,"(2344, 4543)",741,3
97628,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,75335,66,"(8560, 3320)",812,2
99570,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,73099,62,"(3272, 6038)",862,3
99831,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,68354,41,"(3274, 9753)",775,6
100416,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,59848,19,"(2805, 3886)",739,3
102985,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,74775,87,"(5853, 9130)",1406,7
108827,3,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,74261,20,"(5072, 3181)",726,1
109274,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,61638,59,"(247, 6371)",713,3
110152,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,69398,46,"(6089, 5215)",780,4
113927,4,"(7286, 6318)",dwvuenmgxoclebjqxuolmboggnkcragj,80433,13,"(7469, 7560)",828,8
115198,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,69221,86,"(7622, 9406)",1546,8
115355,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,65886,89,"(9836, 4142)",786,5
115768,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,91218,68,"(1198, 4139)",953,3
118248,4,"(7286, 6318)",dwvuenmgxoclebjqxuolmboggnkcragj,73419,0,"(8884, 5431)",839,5
124666,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,76336,35,"(9099, 52)",794,2
125009,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,79393,96,"(3972, 8498)",890,7
125913,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,73609,73,"(1518, 9646)",781,6
126985,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,77383,47,"(3203, 5561)",765,3
129453,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,70785,90,"(3440, 5998)",765,4
130878,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,82744,9,"(1873, 9333)",1171,6
136652,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,80718,98,"(3248, 9760)",707,6
136660,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,86714,32,"(1465, 6179)",900,3
138318,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,68371,94,"(283, 2840)",1109,0
139600,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,84641,43,"(9629, 2616)",838,2
139915,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,73473,54,"(9177, 797)",968,2
140944,3,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,72106,7,"(5064, 1045)",751,1
144432,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,56948,56,"(5484, 5385)",671,4
147632,5,"(3195, 813)",dwvuenmgxoclebjqxuolmboggnkcragj,61418,63,"(2840, 661)",725,0
148739,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,74368,67,"(1824, 5822)",798,3
152696,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,68791,93,"(4217, 9402)",791,7
154673,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,69986,79,"(1511, 3694)",898,3
156832,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,79717,65,"(5073.170474949769494816369682, 5790.268428111747557298250060)",798,4
159789,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,56868,26,"(6085, 9463)",640,7
162395,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,86732,15,"(1593, 2284)",1055,0
164081,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,76312,83,"(1254, 7286)",753,6
170840,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,69398,46,"(6008.043307482408243263759673, 5140.304102919824947584506749)",780,4
172909,4,"(7286, 6318)",dwvuenmgxoclebjqxuolmboggnkcragj,66701,84,"(8290, 7293)",811,8
173669,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,74358,49,"(3627, 2726)",734,1
175050,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,77247,12,"(2318, 3825)",875,3
178238,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,79651,64,"(1738, 9125)",1266,6
179267,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,73689,72,"(9975, 4157)",758,5
182900,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,75326,88,"(2208, 7019)",2450,6
188218,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,56808,24,"(3551, 7063)",783,7
188328,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,74051,4,"(1802.390688281235214389922364, 6620.306232127828306839645835)",2081,3
190141,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,70785,90,"(3425.817900901853865080874035, 5869.326198182495743449984146)",765,4
191936,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,69425,37,"(6974, 8162)",906,8
197085,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,71374,10,"(631, 3521)",777,3
202906,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,70429,44,"(3520, 2665)",843,1
203122,3,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,90098,31,"(5213, 1487)",843,1
205120,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,56948,56,"(5431.813327798324120126082917, 5519.674250948408202568557329)",671,4
206658,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,72473,48,"(1717, 3552)",747,3
207578,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,75263,45,"(225.0081502373282111284790098, 5404.389095818195252594206032)",781,3
209324,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,75909,40,"(7053, 1127)",683,2
212144,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,69013,30,"(3465, 6669)",1328,7
214774,1,"(6729, 8448)",dwvuenmgxoclebjqxuolmboggnkcragj,78963,92,"(4459, 9427)",1171,7
215569,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,72249,61,"(7292, 4294)",671,5
217520,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,79717,65,"(5016.468296797743482807464740, 5811.899339715651448932841918)",798,4
230709,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,73793,5,"(4842, 7221)",796,7
231135,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,68576,85,"(2649, 7435)",782,6
231528,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,69398,46,"(5963.440397362686326886308942, 5099.150564155193678238589704)",780,4
232735,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,72529,16,"(1871, 6039)",1031,3
232900,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,72979,57,"(2774, 4166)",859,3
236034,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,91154,60,"(8080, 2033)",672,2
238483,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,58795,22,"(6791, 1110)",916,2
240516,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,84988,3,"(1222, 8587)",1240,6
242902,3,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,70923,51,"(6461, 965)",796,1
247467,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,72272,38,"(6284, 2063)",809,1
247803,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,75319,14,"(7388.610123410574298357239193, 2679.816200385726830867321939)",958,2
248189,5,"(3195, 813)",dwvuenmgxoclebjqxuolmboggnkcragj,84712,58,"(2116, 1164)",750,0
249308,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,80579,97,"(1257.200242712324819390581568, 4563.730281305058031902176822)",812,3
250829,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,70785,90,"(3419.169285342011353621333378, 5809.003488900357065153557163)",765,4
253862,4,"(7286, 6318)",dwvuenmgxoclebjqxuolmboggnkcragj,76094,74,"(8910, 5205)",609,5
255838,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,85146,82,"(7832, 4764)",1078,5
257123,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,79611,8,"(9308.479580834264973907933440, 2649.929536318835048828438151)",765,2
257975,4,"(7286, 6318)",dwvuenmgxoclebjqxuolmboggnkcragj,76272,23,"(8537.801775452009678896333259, 6398.159562162142905318634284)",728,5
259657,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,77355,81,"(7930, 2161)",1015,2
261354,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,73897,76,"(9345.288354768749649083352219, 3303.523459658307757856117185)",702,2
264675,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,70000,17,"(4532, 5787)",724,4
265808,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,56948,56,"(5409.885328722113129502202613, 5576.262201967275191860962109)",671,4
268014,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,79152,91,"(475.9686209107692262605839951, 5948.426282778037864354092177)",1140,3
274447,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,76173,36,"(2422.097697190332422056901070, 4486.471732959809002116476789)",741,3
276716,3,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,75591,1,"(5511, 1508)",843,1
277608,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,73099,62,"(3319.813840692533971693561818, 5950.661454453208446862448171)",862,3
278208,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,79717,65,"(4959.766118645717470798559798, 5833.530251319555340567433777)",798,4
278454,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,59848,19,"(2902.315722117721377277029918, 3861.240692967967870193305083)",739,3
285288,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,71419,53,"(7051, 1142)",953,2
285537,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,75335,66,"(8480.123532785930837570678057, 3376.133558317638610624577944)",812,5
286979,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,65508,28,"(2004, 9339)",1125,6
287312,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,61638,59,"(348.6968110567295506885429986, 6331.017932808672224301153609)",713,3
287589,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,66752,2,"(3364.106054306196588838534738, 1695.071824325468811469963795)",779,1
288988,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,68833,42,"(4468, 8240)",706,7
291076,0,"(8980, 9162)",dwvuenmgxoclebjqxuolmboggnkcragj,71498,78,"(8488, 9390)",810,8
292216,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,69398,46,"(5918.837487242964410508858211, 5057.997025390562408892672658)",780,4
293806,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,91218,68,"(1197.623576332180953931166994, 4023.232611978924286285267323)",953,3
299041,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,69009,11,"(9857, 3418)",781,5
303264,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,65886,89,"(9810.412584062845312922061368, 4029.518623005143456300511891)",786,5
305023,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,77383,47,"(3255.110158550597400324210748, 5676.800352334660889609357217)",765,3
306157,4,"(7286, 6318)",dwvuenmgxoclebjqxuolmboggnkcragj,73419,0,"(8806.533545709072563148501579, 5341.660546433327403229050817)",839,5
311517,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,70785,90,"(3412.520669782168842161792722, 5748.680779618218386857130181)",765,4
314698,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,86714,32,"(1597.989888134414711376515200, 6147.541372344047469057916091)",900,3
316854,3,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,61426,95,"(4998.928624132864471392038120, 2021.644876408351932518840298)",728,1
322843,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,76336,35,"(8981.389491713725208181426934, 93.34464773878344473973848561)",794,2
325363,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,70000,17,"(4319.542373271583363939392514, 5629.156367027590281542403865)",724,4
326496,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,56948,56,"(5387.957329645902138878322310, 5632.850152986142181153366889)",671,4
326777,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,74368,67,"(1966.130676330694354974474812, 5865.842456212892537816559019)",798,3
329425,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,89926,29,"(4594.827054845203079032346619, 3090.572126062661121119984302)",1438,1
331023,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,76357,27,"(3891.860867348042472193889996, 1512.008724521577521036684319)",906,1
332711,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,69986,79,"(1381.766113198767871419033310, 3609.015651845493795500800845)",898,3
337777,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,84641,43,"(9599.452908869680692616792524, 2752.437272787668273123691966)",838,2
338092,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,73473,54,"(9051.569541761612942474688531, 858.9952205505250361521581033)",968,2
338296,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,73099,62,"(3405.308272441226984170998384, 5794.494135260081254560515334)",862,4
338896,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,79717,65,"(4903.063940493691458789654856, 5855.161162923459232202025635)",798,4
340257,6,"(5031, 74)",dwvuenmgxoclebjqxuolmboggnkcragj,71315,52,"(5933.932658463390851852895027, 111.6113958851684298905255168)",735,1
352904,2,"(6608, 4304)",dwvuenmgxoclebjqxuolmboggnkcragj,69398,46,"(5874.234577123242494131407480, 5016.843486625931139546755612)",780,4
353088,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,77247,12,"(2395.299694816187288991944426, 3667.941858914208750435452201)",875,3
355028,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,74261,20,"(4969.597410238762395779848681, 3217.837827557982807694195201)",726,1
367176,9,"(7580, 1731)",dwvuenmgxoclebjqxuolmboggnkcragj,73689,72,"(9826.315999472180454875815108, 4056.851483904935692331187235)",758,5
372205,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,70785,90,"(3405.872054222326330702252065, 5688.358070336079708560703198)",765,4
375123,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,71374,10,"(763.4585489442147837795775101, 3666.935705146455030697313336)",777,3
384696,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,72473,48,"(1922.631452429863714784461931, 3572.572669627072979339251402)",747,3
385616,7,"(3645, 2009)",dwvuenmgxoclebjqxuolmboggnkcragj,75263,45,"(393.8136699378508940293641128, 5460.977309808711379248480015)",781,3
386051,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,70000,17,"(4270.827426824453303264050502, 5592.964001304232952766529323)",724,4
387145,3,"(4910, 1586)",dwvuenmgxoclebjqxuolmboggnkcragj,72106,7,"(5004.838517203318019912491288, 1172.926268175452946084987622)",751,1
387184,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,56948,56,"(5366.029330569691148254442007, 5689.438104005009170445771670)",671,4
398984,8,"(5315, 6204)",dwvuenmgxoclebjqxuolmboggnkcragj,73099,62,"(3434.450849160605327789948667, 5741.261217190947120013847207)",862,4
